"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PIGS",3921.29673428927,0.374700148352314,0.309817432957625,1.20942241621234,0.226500600969599,0.413200186674715
"PIGT",8614.37919287776,-0.0361439894796766,0.387766180619614,-0.0932107834208798,0.925736107756654,0.959507888076393
"PIGU",2368.18234173269,0.454620733063892,0.360540739955927,1.26094136579257,0.207329973124738,0.389733701180443
"PIGUP1",0.650322448922089,-0.462639376770917,0.999446709709927,-0.462895492352154,0.643439278691844,NA
"PIGV",834.169725729277,-0.158573423054205,0.284555400821819,-0.557267311027071,0.577344806437307,0.736245653045233
"PIGW",693.688134349471,1.33169003492032,0.301990819047121,4.40970370927908,1.03512146572297e-05,0.000178636778051978
"PIGX",2940.24181830987,1.16977628438787,0.490102196758679,2.38680073691621,0.0169957003384295,0.0699063221687116
"PIGZ",538.245226880441,0.47503532337464,0.612886428030344,0.775078875381984,0.438293053332388,0.625282033942624
"PIH1D1",4686.11996421749,0.433638448116833,0.331070596939995,1.30980658543781,0.190261274773394,0.368914290133728
"PIH1D2",73.2496900967605,0.770756024616315,0.567913254057082,1.35717210174293,0.174726532966028,0.349344943077499
"PIK3AP1",784.701187456831,1.92245009177054,0.718256412225181,2.67655124138012,0.00743841904497627,0.0377189705574673
"PIK3C2A",2028.74598798005,-0.675941915408147,0.365877451722178,-1.84745442012483,0.0646813082495926,0.180090747088271
"PIK3C2B",2045.25380179525,-0.229725026041883,0.469752240424561,-0.48903444469846,0.624817311204771,0.770888350651604
"PIK3C2G",44.0485463127572,1.93956829544556,1.65174013525629,1.17425753243237,0.240291887911211,0.429178048557835
"PIK3C3",1698.99294547897,-0.349917028813775,0.261385964900161,-1.33869861355192,0.180668807823534,0.356422541567201
"PIK3CA",2022.19122341332,0.295935542154529,0.386030657712517,0.766611501553114,0.443312535064533,0.629570482864893
"PIK3CB",2783.41876458783,1.01005347403464,0.351894514505603,2.87033026204948,0.00410043277297936,0.0240833133923383
"PIK3CD",1365.20880244431,0.409591747533238,0.533003651280995,0.768459552854555,0.442214211561029,0.628623296303678
"PIK3CD-AS1",2.83569022067715,0.70249582816346,1.06834312327604,0.657556371972777,0.510823236574522,0.685084191861655
"PIK3CD-AS2",52.4484432401998,-0.904389646029857,0.899418184972995,-1.00552741888025,0.314642953499519,0.509454155150946
"PIK3CG",114.190875673935,0.334928930602487,0.734754266534443,0.455838020760628,0.648506461263191,0.787555933566892
"PIK3IP1",2446.05569687383,-1.0784131529256,0.509829492300114,-2.11524278060162,0.0344092604786058,0.115902054013227
"PIK3IP1-AS1",15.2495515975108,0.781813342912523,0.612993639728509,1.27540204700783,0.202166974526055,0.383602149876334
"PIK3R1",2994.93342678749,-1.33890609860093,0.736303939762722,-1.81841495922513,0.0690007336765608,0.188206766211492
"PIK3R2",97.1364280252904,0.371844290430057,0.537560153670376,0.691725917352994,0.489109467796135,0.66733046563336
"PIK3R3",2809.46537699738,0.218843871030697,0.520456057652366,0.420484818675838,0.674131317436343,0.805153184364867
"PIK3R4",2424.48941308019,0.574534022039557,0.312911476767267,1.83609124208274,0.0663441633546145,0.183368684173447
"PIK3R5",347.80878771332,0.841651166747017,0.653651025349815,1.28761546162433,0.197879854427236,0.378288625789863
"PIK3R6",123.693533941747,0.744773343938306,0.640999805321617,1.16189324513854,0.245278831285565,0.435171691945332
"PIKFYVE",1316.60299297011,-0.358844642032294,0.353871289337218,-1.01405412884552,0.310556924519189,0.505128359329539
"PILRA",265.133941753258,0.310400443794327,0.672562004747808,0.461519445944197,0.644425973181949,0.78507305842266
"PILRB",457.906880755031,2.14265433230242,0.647840990381666,3.30737690901607,0.000941740889808771,0.00752538701147273
"PIM1",6558.56326713382,-0.66684175810904,0.567522207100529,-1.17500557646182,0.239992484803718,0.428858171517597
"PIM2",1769.23856658086,0.982918187780547,0.578890780821483,1.69793373870236,0.0895202685891212,0.224603959473948
"PIM3",6889.28811108393,-0.361152659984925,0.408554083772506,-0.883977603773076,0.376708302889084,0.569794576838058
"PIMREG",867.88626139437,4.83691609893499,0.495955815707167,9.7527157576289,1.79598215447261e-22,3.75722050862655e-20
"PIN1",2731.47464832723,0.0520233435267652,0.359871850890554,0.144560746827033,0.885057691095991,0.935944480409261
"PIN4",1349.22693494439,0.265300654833858,0.399451958743436,0.664161606988786,0.506586883224223,0.681582379923064
"PIN4P1",7.52034460128341,1.25024686570851,0.633820511857031,1.97255665021854,0.048546096043231,0.148284866264823
"PINK1",1144.01925629146,-0.961101808114295,0.419404372871994,-2.29158747566905,0.0219294588677751,0.0838305691022279
"PINK1-AS",267.542916601913,-0.0946760412854749,0.313255121334006,-0.30223301979005,0.762474434353408,0.86245503643079
"PINLYP",367.529024037371,-0.441924391484347,0.824896910031619,-0.535732872932459,0.592143180976209,0.747673971324671
"PINX1",562.239944933432,0.141219391124163,0.36861420544718,0.383108922654903,0.701639004114599,0.822804783409793
"PIP",38.7357549172274,0.654046868566075,1.75247475334406,0.373213290130444,NA,NA
"PIP4K2A",1586.52281741405,-0.837789250356791,0.35151361982642,-2.38337635614374,0.0171546461265424,0.0703284864956615
"PIP4K2B",3534.27994349466,-0.916040994449353,0.250104821829258,-3.66262828421084,0.000249640663896904,0.00256240807668632
"PIP4K2C",3630.84562719274,1.04700768921301,0.26987040201934,3.87966846819304,0.000104598934725431,0.00123543152838375
"PIP4P1",1935.84251699668,0.173341300082688,0.224505310884198,0.772103338669345,0.440053224976077,0.626758641835285
"PIP4P2",225.609240437503,-2.5906631567126,0.640866673002961,-4.04243700889191,5.2898525998554e-05,0.000704320621571407
"PIP5K1A",3634.99676343831,0.512860828055596,0.33330460042114,1.53871511946604,0.123873859554636,0.279234725735602
"PIP5K1B",320.845605367053,-1.34725194971475,1.1470190377389,-1.17456808072739,0.24016755964727,0.429008690151911
"PIP5K1C",2936.33295744186,-1.09252078501619,0.283466177295243,-3.85414865166888,0.000116133023302561,0.00134596739123761
"PIP5K1P1",0.849647276344749,0.435742948119602,1.20290959291512,0.362240812348686,0.717172083678337,NA
"PIP5K1P2",0.0938708402284603,-3.34423644201287,4.6604369426088,-0.717580021615065,0.473016279713662,NA
"PIP5KL1",196.098667267389,1.37303624683943,0.644345624707665,2.13090024078671,0.033097361555506,0.112856258990685
"PIPOX",124.714228268072,-0.911213558091752,0.843073806663508,-1.08082299662222,0.279775856888951,0.472560533368599
"PIPSL",32.3644263718347,0.13171230079856,0.449103414677892,0.293278332993811,0.769309413646765,0.866738465846333
"PIR",1734.40722977497,0.797344839426908,0.710090570013189,1.12287766251015,0.261489455603752,0.453473990905385
"PISD",2187.76754623777,0.252158487767294,0.267468512568041,0.94275952464927,0.345803919007755,0.540770753472789
"PITHD1",3789.12360296581,0.126534912718682,0.323898763343107,0.390661919831546,0.696047149962326,0.819165717825426
"PITPNA",4598.56665933635,-0.517414437786424,0.306976309951971,-1.68551911340448,0.0918884603432209,0.22822211635809
"PITPNA-AS1",188.471711827658,-0.150217731146285,0.399173178533466,-0.376322206061475,0.706677372565395,0.826221391770047
"PITPNB",5401.5298048197,0.313356757937312,0.274695303869483,1.14074304701692,0.253976867265216,0.444849615902013
"PITPNC1",1598.77325249883,0.0200462312258243,0.546156344288304,0.0367041991463936,0.970720860466201,0.984328622293011
"PITPNM1",4057.73658800908,1.87346201209669,0.383352322720435,4.88705011307037,1.02358046743743e-06,2.50123499265656e-05
"PITPNM2",1020.01531656927,-0.314055423423154,0.535143859776598,-0.586861677819233,0.557296609196465,0.72089092966299
"PITPNM2-AS1",1.36757725170038,-2.68606442825126,0.900563235586635,-2.98264943771721,0.00285765104041175,0.0181906727528564
"PITPNM3",1842.88606585827,0.978742035794216,0.603938516825463,1.62059880025349,0.105103709714978,0.249841475909577
"PITRM1",3790.73186821485,0.214667473738422,0.32491818474115,0.660681623312155,0.508816511255008,0.683570123852362
"PITRM1-AS1",38.5755322146542,0.546471425409575,0.456409343074086,1.19732742920837,0.231178957342973,0.41870299356092
"PITX1",13696.1534778248,8.1867524585624,0.802413988608807,10.2026542094016,1.92926732823102e-24,4.56107029574225e-22
"PITX2",454.998396206249,7.03915103484699,1.50027134913293,4.69191859120364,2.70654830665246e-06,5.66213800065804e-05
"PITX3",5.96532834020987,1.14541644723215,1.21367293213334,0.9437603961545,0.345292102912799,0.540173717484468
"PIWIL1",60.871580865128,2.73316132219937,1.98662873218978,1.3757786132423,0.168890184690555,0.341645751695071
"PIWIL2",111.34083952383,-0.888777434786568,1.41651765131563,-0.627438305453584,0.530371965095087,0.700235476640184
"PIWIL4",146.218232284155,-1.28485266558082,0.809624657380998,-1.58697323984314,0.112518705532144,0.261357252030452
"PJA1",2080.62889462427,-0.37391742944567,0.40080817688556,-0.932908685524227,0.350867117505848,0.545694449952717
"PJA2",4129.836877924,-1.50579434987008,0.342555124299935,-4.39577236787043,1.10379560754324e-05,0.000188807485127941
"PJVK",77.9275327182419,-0.859362139833363,0.573901913878473,-1.49740246382126,0.134288567584575,0.293828236026475
"PKD1",3649.05460539897,-1.48123415591647,0.365304745452721,-4.0547903479348,5.01792876408427e-05,0.00067647821293837
"PKD1L1",18.0864864033765,-1.21343092301626,0.654584533062234,-1.85374212454986,0.0637760620181873,0.178304404136801
"PKD1L2",37.7543033627818,-0.621686899619068,1.11391702844725,-0.558108803207426,0.576770089656932,0.735641801707704
"PKD1L3",5.81000625630413,0.181144931990058,0.804725956736917,0.225101390695265,NA,NA
"PKD1P1",1.93621500500821,-0.778868688358703,0.679378205320935,-1.1464434423397,0.251611716338321,0.442252000689194
"PKD1P5",69.8052300099434,-1.05278239984193,0.833134981731338,-1.26363965374992,0.206359394006132,0.388673153591833
"PKD1P6",234.550587016196,-0.591142338642217,0.634189831383035,-0.932122070379242,0.351273443302444,0.546093582346526
"PKD2",1151.13625068619,-2.99909332334003,0.416294734662936,-7.20425475899504,5.83621597444314e-13,5.6950108832494e-11
"PKD2L1",25.5390889518837,5.3923517942854,1.26127696416288,4.2753114085964,1.90870313929767e-05,0.00030066727295578
"PKD2L2",7.73661846860074,0.491591893988132,0.589428540730183,0.834014405510715,0.40427286623959,0.595957146779937
"PKDCC",1799.09191968497,-1.47677699731942,1.3186214933571,-1.11994003188865,0.262739317652284,0.454707312605039
